turma,dia,bloco,hora,aula
t01,Mon,B1,09:00–11:00,
t01,Mon,B2,11:00–13:00,
t01,Mon,B3,14:00–16:00,UC11 @SalaB
t01,Mon,B4,16:00–18:00,
t01,Tue,B1,09:00–11:00,
t01,Tue,B2,11:00–13:00,UC14 @Lab01
t01,Tue,B3,14:00–16:00,UC15 @SalaB
t01,Tue,B4,16:00–18:00,UC15 @SalaA
t01,Wed,B1,09:00–11:00,UC13 @SalaB
t01,Wed,B2,11:00–13:00,UC12 @SalaB
t01,Wed,B3,14:00–16:00,UC13 @SalaB
t01,Wed,B4,16:00–18:00,UC12 @SalaB
t01,Thu,B1,09:00–11:00,
t01,Thu,B2,11:00–13:00,
t01,Thu,B3,14:00–16:00,
t01,Thu,B4,16:00–18:00,UC14 @Lab01
t01,Fri,B1,09:00–11:00,UC11 @SalaA
t01,Fri,B2,11:00–13:00,
t01,Fri,B3,14:00–16:00,
t01,Fri,B4,16:00–18:00,
t02,Mon,B1,09:00–11:00,
t02,Mon,B2,11:00–13:00,
t02,Mon,B3,14:00–16:00,UC23 @SalaB
t02,Mon,B4,16:00–18:00,UC23 @SalaB
t02,Tue,B1,09:00–11:00,UC25 @SalaA
t02,Tue,B2,11:00–13:00,UC25 @SalaB
t02,Tue,B3,14:00–16:00,UC22 @Lab01
t02,Tue,B4,16:00–18:00,UC24 @SalaA
t02,Wed,B1,09:00–11:00,
t02,Wed,B2,11:00–13:00,
t02,Wed,B3,14:00–16:00,UC22 @Lab01
t02,Wed,B4,16:00–18:00,
t02,Thu,B1,09:00–11:00,
t02,Thu,B2,11:00–13:00,
t02,Thu,B3,14:00–16:00,
t02,Thu,B4,16:00–18:00,UC21 @SalaB
t02,Fri,B1,09:00–11:00,
t02,Fri,B2,11:00–13:00,UC24 @SalaA
t02,Fri,B3,14:00–16:00,
t02,Fri,B4,16:00–18:00,UC21 @ONLINE (online)
t03,Mon,B1,09:00–11:00,UC35 @SalaA
t03,Mon,B2,11:00–13:00,
t03,Mon,B3,14:00–16:00,UC34 @SalaB
t03,Mon,B4,16:00–18:00,UC34 @SalaB
t03,Tue,B1,09:00–11:00,UC32 @SalaB
t03,Tue,B2,11:00–13:00,
t03,Tue,B3,14:00–16:00,
t03,Tue,B4,16:00–18:00,UC32 @SalaA
t03,Wed,B1,09:00–11:00,UC31 @SalaB
t03,Wed,B2,11:00–13:00,
t03,Wed,B3,14:00–16:00,
t03,Wed,B4,16:00–18:00,
t03,Thu,B1,09:00–11:00,UC33 @SalaA
t03,Thu,B2,11:00–13:00,UC35 @SalaB
t03,Thu,B3,14:00–16:00,
t03,Thu,B4,16:00–18:00,
t03,Fri,B1,09:00–11:00,
t03,Fri,B2,11:00–13:00,UC31 @ONLINE (online)
t03,Fri,B3,14:00–16:00,UC33 @SalaA
t03,Fri,B4,16:00–18:00,
